Test_Type,Parameter_Value,Parameter_Unit,Time_ms
Test_1_FileSize,1.0,KB,20.7812
Test_1_FileSize,2.0,KB,21.5625
Test_1_FileSize,3.0,KB,22.3438
Test_1_FileSize,4.0,KB,23.1250
Test_1_FileSize,5.0,KB,23.9062
Test_1_FileSize,6.0,KB,24.6875
Test_1_FileSize,7.0,KB,25.4688
Test_1_FileSize,8.0,KB,26.2500
Test_1_FileSize,9.0,KB,27.0312
Test_1_FileSize,10.0,KB,27.8125
Test_1_FileSize,11.0,KB,28.5938
Test_1_FileSize,12.0,KB,29.3750
Test_1_FileSize,13.0,KB,30.1563
Test_1_FileSize,14.0,KB,30.9375
Test_1_FileSize,15.0,KB,31.7188
Test_1_FileSize,16.0,KB,32.5000
Test_1_FileSize,17.0,KB,33.2812
Test_1_FileSize,18.0,KB,34.0625
Test_1_FileSize,19.0,KB,34.8438
Test_1_FileSize,20.0,KB,35.6250
Test_1_FileSize,21.0,KB,36.4062
Test_1_FileSize,22.0,KB,37.1875
Test_1_FileSize,23.0,KB,37.9687
Test_1_FileSize,24.0,KB,38.7500
Test_1_FileSize,25.0,KB,39.5313
Test_1_FileSize,26.0,KB,40.3125
Test_1_FileSize,27.0,KB,41.0938
Test_1_FileSize,28.0,KB,41.8750
Test_1_FileSize,29.0,KB,42.6562
Test_1_FileSize,30.0,KB,43.4375
Test_1_FileSize,31.0,KB,44.2188
Test_1_FileSize,32.0,KB,45.0000
Test_1_FileSize,33.0,KB,45.7812
Test_1_FileSize,34.0,KB,46.5625
Test_1_FileSize,35.0,KB,47.3438
Test_1_FileSize,36.0,KB,48.1250
Test_1_FileSize,37.0,KB,48.9062
Test_1_FileSize,38.0,KB,49.6875
Test_1_FileSize,39.0,KB,50.4688
Test_1_FileSize,40.0,KB,51.2500
Test_1_FileSize,41.0,KB,52.0312
Test_1_FileSize,42.0,KB,52.8125
Test_1_FileSize,43.0,KB,53.5937
Test_1_FileSize,44.0,KB,54.3750
Test_1_FileSize,45.0,KB,55.1563
Test_1_FileSize,46.0,KB,55.9375
Test_1_FileSize,47.0,KB,56.7188
Test_1_FileSize,48.0,KB,57.5000
Test_1_FileSize,49.0,KB,58.2813
Test_1_FileSize,50.0,KB,59.0625
Test_1_FileSize,51.0,KB,59.8438
Test_1_FileSize,52.0,KB,60.6250
Test_1_FileSize,53.0,KB,61.4062
Test_1_FileSize,54.0,KB,62.1875
Test_1_FileSize,55.0,KB,62.9688
Test_1_FileSize,56.0,KB,63.7500
Test_1_FileSize,57.0,KB,64.5312
Test_1_FileSize,58.0,KB,65.3125
Test_1_FileSize,59.0,KB,66.0938
Test_1_FileSize,60.0,KB,66.8750
Test_1_FileSize,61.0,KB,67.6562
Test_1_FileSize,62.0,KB,68.4375
Test_1_FileSize,63.0,KB,69.2188
Test_1_FileSize,64.0,KB,70.0000
Test_1_FileSize,65.0,KB,70.7812
Test_1_FileSize,66.0,KB,71.5625
Test_1_FileSize,67.0,KB,72.3438
Test_1_FileSize,68.0,KB,73.1250
Test_1_FileSize,69.0,KB,73.9062
Test_1_FileSize,70.0,KB,74.6875
Test_1_FileSize,71.0,KB,75.4688
Test_1_FileSize,72.0,KB,76.2500
Test_1_FileSize,73.0,KB,77.0312
Test_1_FileSize,74.0,KB,77.8125
Test_1_FileSize,75.0,KB,78.5938
Test_1_FileSize,76.0,KB,79.3750
Test_1_FileSize,77.0,KB,80.1562
Test_1_FileSize,78.0,KB,80.9375
Test_1_FileSize,79.0,KB,81.7188
Test_1_FileSize,80.0,KB,82.5000
Test_1_FileSize,81.0,KB,83.2812
Test_1_FileSize,82.0,KB,84.0625
Test_1_FileSize,83.0,KB,84.8438
Test_1_FileSize,84.0,KB,85.6250
Test_1_FileSize,85.0,KB,86.4062
Test_1_FileSize,86.0,KB,87.1875
Test_1_FileSize,87.0,KB,87.9688
Test_1_FileSize,88.0,KB,88.7500
Test_1_FileSize,89.0,KB,89.5312
Test_1_FileSize,90.0,KB,90.3125
Test_1_FileSize,91.0,KB,91.0938
Test_1_FileSize,92.0,KB,91.8750
Test_1_FileSize,93.0,KB,92.6563
Test_1_FileSize,94.0,KB,93.4375
Test_1_FileSize,95.0,KB,94.2188
Test_1_FileSize,96.0,KB,95.0000
Test_1_FileSize,97.0,KB,95.7812
Test_1_FileSize,98.0,KB,96.5625
