[Test 1] 1.0 KB; 20.7812 ms
[Test 1] 16.0 KB; 32.5000 ms
[Test 1] 31.0 KB; 44.2188 ms
[Test 1] 46.0 KB; 55.9375 ms
[Test 1] 61.0 KB; 67.6562 ms
[Test 1] 76.0 KB; 79.3750 ms
[Test 1] 91.0 KB; 91.0938 ms
[Test 1] 106.0 KB; 102.8125 ms
[Test 1] 121.0 KB; 114.5312 ms
[Test 1] 136.0 KB; 126.2500 ms
[Test 1] 151.0 KB; 137.9688 ms
[Test 1] 166.0 KB; 149.6875 ms
[Test 1] 181.0 KB; 161.4062 ms
[Test 1] 196.0 KB; 173.1250 ms
[Test 1] 211.0 KB; 184.8438 ms
[Test 1] 226.0 KB; 196.5625 ms
[Test 1] 241.0 KB; 208.2812 ms
[Test 1] 256.0 KB; 220.0000 ms
[Test 1] 271.0 KB; 231.7188 ms
[Test 1] 286.0 KB; 243.4375 ms
[Test 1] 301.0 KB; 255.1563 ms
[Test 1] 316.0 KB; 266.8750 ms
[Test 1] 331.0 KB; 278.5938 ms
[Test 1] 346.0 KB; 290.3125 ms
[Test 1] 361.0 KB; 302.0313 ms
[Test 1] 376.0 KB; 313.7500 ms
[Test 1] 391.0 KB; 325.4688 ms
[Test 1] 406.0 KB; 337.1875 ms
[Test 1] 421.0 KB; 348.9063 ms
[Test 1] 436.0 KB; 360.6250 ms
[Test 1] 451.0 KB; 372.3438 ms
[Test 1] 466.0 KB; 384.0625 ms
[Test 1] 481.0 KB; 395.7813 ms
[Test 1] 496.0 KB; 407.5000 ms
[Test 1] 511.0 KB; 419.2188 ms
[Test 1] 526.0 KB; 430.9375 ms
[Test 1] 541.0 KB; 442.6563 ms
[Test 1] 556.0 KB; 454.3750 ms
[Test 1] 571.0 KB; 466.0938 ms
[Test 1] 586.0 KB; 477.8125 ms
[Test 1] 601.0 KB; 489.5313 ms
[Test 1] 616.0 KB; 501.2500 ms
[Test 1] 631.0 KB; 512.9688 ms
[Test 1] 646.0 KB; 524.6875 ms
[Test 1] 661.0 KB; 536.4062 ms
[Test 1] 676.0 KB; 548.1250 ms
[Test 1] 691.0 KB; 559.8438 ms
[Test 1] 706.0 KB; 571.5625 ms
[Test 1] 721.0 KB; 583.2812 ms
[Test 1] 736.0 KB; 595.0000 ms
[Test 1] 751.0 KB; 606.7188 ms
[Test 1] 766.0 KB; 618.4375 ms
[Test 1] 781.0 KB; 630.1562 ms
[Test 1] 796.0 KB; 641.8750 ms
[Test 1] 811.0 KB; 653.5938 ms
[Test 1] 826.0 KB; 665.3125 ms
[Test 1] 841.0 KB; 677.0312 ms
[Test 1] 856.0 KB; 688.7500 ms
[Test 1] 871.0 KB; 700.4688 ms
[Test 1] 886.0 KB; 712.1875 ms
[Test 1] 901.0 KB; 723.9062 ms
[Test 1] 916.0 KB; 735.6250 ms
[Test 1] 931.0 KB; 747.3438 ms
[Test 1] 946.0 KB; 759.0625 ms
[Test 1] 961.0 KB; 770.7812 ms
[Test 1] 976.0 KB; 782.5000 ms
[Test 1] 991.0 KB; 794.2188 ms
[Test 1] 1006.0 KB; 805.9375 ms
[Test 1] 1021.0 KB; 817.6562 ms
[Test 1] 1036.0 KB; 829.3750 ms
[Test 1] 1051.0 KB; 841.0938 ms
[Test 1] 1066.0 KB; 852.8125 ms
[Test 1] 1081.0 KB; 864.5312 ms
[Test 1] 1096.0 KB; 876.2500 ms
[Test 1] 1111.0 KB; 887.9688 ms
[Test 1] 1126.0 KB; 899.6875 ms
[Test 1] 1141.0 KB; 911.4062 ms
[Test 1] 1156.0 KB; 923.1250 ms
[Test 1] 1171.0 KB; 934.8438 ms
[Test 1] 1186.0 KB; 946.5625 ms
[Test 1] 1201.0 KB; 958.2812 ms
[Test 1] 1216.0 KB; 970.0000 ms
[Test 1] 1231.0 KB; 981.7188 ms
[Test 1] 1246.0 KB; 993.4375 ms
[Test 1] 1261.0 KB; 1005.1562 ms
[Test 1] 1276.0 KB; 1016.8750 ms
[Test 1] 1291.0 KB; 1028.5938 ms
[Test 1] 1306.0 KB; 1040.3125 ms
[Test 1] 1321.0 KB; 1052.0312 ms
[Test 1] 1336.0 KB; 1063.7500 ms
[Test 1] 1351.0 KB; 1075.4688 ms
[Test 1] 1366.0 KB; 1087.1875 ms
[Test 1] 1381.0 KB; 1098.9062 ms
[Test 1] 1396.0 KB; 1110.6250 ms
[Test 1] 1411.0 KB; 1122.3438 ms
[Test 1] 1426.0 KB; 1134.0625 ms
[Test 1] 1441.0 KB; 1145.7812 ms
[Test 1] 1456.0 KB; 1157.5000 ms
[Test 1] 1471.0 KB; 1169.2188 ms
[Test 1] 1486.0 KB; 1180.9375 ms
[Test 1] 1501.0 KB; 1192.6562 ms
[Test 1] 1516.0 KB; 1204.3750 ms
[Test 1] 1531.0 KB; 1216.0938 ms
[Test 1] 1546.0 KB; 1227.8125 ms
[Test 1] 1561.0 KB; 1239.5312 ms
[Test 1] 1576.0 KB; 1251.2500 ms
[Test 1] 1591.0 KB; 1262.9688 ms
[Test 1] 1606.0 KB; 1274.6875 ms
[Test 1] 1621.0 KB; 1286.4062 ms
[Test 1] 1636.0 KB; 1298.1250 ms
[Test 1] 1651.0 KB; 1309.8438 ms
[Test 1] 1666.0 KB; 1321.5625 ms
[Test 1] 1681.0 KB; 1333.2812 ms
[Test 1] 1696.0 KB; 1345.0000 ms
[Test 1] 1711.0 KB; 1356.7188 ms
[Test 1] 1726.0 KB; 1368.4375 ms
[Test 1] 1741.0 KB; 1380.1562 ms
[Test 1] 1756.0 KB; 1391.8750 ms
[Test 1] 1771.0 KB; 1403.5938 ms
[Test 1] 1786.0 KB; 1415.3125 ms
[Test 1] 1801.0 KB; 1427.0312 ms
[Test 1] 1816.0 KB; 1438.7500 ms
[Test 1] 1831.0 KB; 1450.4688 ms
[Test 1] 1846.0 KB; 1462.1875 ms
[Test 1] 1861.0 KB; 1473.9062 ms
[Test 1] 1876.0 KB; 1485.6250 ms
[Test 1] 1891.0 KB; 1497.3438 ms
[Test 1] 1906.0 KB; 1509.0625 ms
[Test 1] 1921.0 KB; 1520.7812 ms
[Test 1] 1936.0 KB; 1532.5000 ms
[Test 1] 1951.0 KB; 1544.2188 ms
[Test 1] 1966.0 KB; 1555.9375 ms
[Test 1] 1981.0 KB; 1567.6562 ms
[Test 1] 1996.0 KB; 1579.3750 ms
[Test 1] 2011.0 KB; 1591.0938 ms
[Test 1] 2026.0 KB; 1602.8125 ms
[Test 1] 2041.0 KB; 1614.5312 ms
[Test 1] 2056.0 KB; 1626.2500 ms
[Test 1] 2071.0 KB; 1637.9688 ms
[Test 1] 2086.0 KB; 1649.6875 ms
[Test 1] 2101.0 KB; 1661.4062 ms
[Test 1] 2116.0 KB; 1673.1250 ms
[Test 1] 2131.0 KB; 1684.8438 ms
[Test 1] 2146.0 KB; 1696.5625 ms
[Test 1] 2161.0 KB; 1708.2812 ms
[Test 1] 2176.0 KB; 1720.0000 ms
[Test 1] 2191.0 KB; 1731.7188 ms
[Test 1] 2206.0 KB; 1743.4375 ms
[Test 1] 2221.0 KB; 1755.1562 ms
[Test 1] 2236.0 KB; 1766.8750 ms
[Test 1] 2251.0 KB; 1778.5938 ms
[Test 1] 2266.0 KB; 1790.3125 ms
[Test 1] 2281.0 KB; 1802.0312 ms
[Test 1] 2296.0 KB; 1813.7500 ms
[Test 1] 2311.0 KB; 1825.4688 ms
[Test 1] 2326.0 KB; 1837.1875 ms
[Test 1] 2341.0 KB; 1848.9062 ms
[Test 1] 2356.0 KB; 1860.6250 ms
[Test 1] 2371.0 KB; 1872.3438 ms
[Test 1] 2386.0 KB; 1884.0625 ms
[Test 1] 2401.0 KB; 1895.7812 ms
[Test 1] 2416.0 KB; 1907.5000 ms
[Test 1] 2431.0 KB; 1919.2188 ms
[Test 1] 2446.0 KB; 1930.9375 ms
[Test 1] 2461.0 KB; 1942.6562 ms
[Test 1] 2476.0 KB; 1954.3750 ms
[Test 1] 2491.0 KB; 1966.0938 ms
[Test 1] 2506.0 KB; 1977.8125 ms
[Test 1] 2521.0 KB; 1989.5312 ms
[Test 1] 2536.0 KB; 2001.2500 ms
[Test 1] 2551.0 KB; 2012.9687 ms
[Test 1] 2566.0 KB; 2024.6875 ms
[Test 1] 2581.0 KB; 2036.4063 ms
[Test 1] 2596.0 KB; 2048.1250 ms
[Test 1] 2611.0 KB; 2059.8438 ms
[Test 1] 2626.0 KB; 2071.5625 ms
[Test 1] 2641.0 KB; 2083.2812 ms
[Test 1] 2656.0 KB; 2095.0000 ms
[Test 1] 2671.0 KB; 2106.7188 ms
[Test 1] 2686.0 KB; 2118.4375 ms
[Test 1] 2701.0 KB; 2130.1562 ms
[Test 1] 2716.0 KB; 2141.8750 ms
[Test 1] 2731.0 KB; 2153.5938 ms
[Test 1] 2746.0 KB; 2165.3125 ms
[Test 1] 2761.0 KB; 2177.0312 ms
[Test 1] 2776.0 KB; 2188.7500 ms
[Test 1] 2791.0 KB; 2200.4688 ms
[Test 1] 2806.0 KB; 2212.1875 ms
[Test 1] 2821.0 KB; 2223.9062 ms
[Test 1] 2836.0 KB; 2235.6250 ms
[Test 1] 2851.0 KB; 2247.3438 ms
[Test 1] 2866.0 KB; 2259.0625 ms
[Test 1] 2881.0 KB; 2270.7812 ms
[Test 1] 2896.0 KB; 2282.5000 ms
[Test 1] 2911.0 KB; 2294.2188 ms
[Test 1] 2926.0 KB; 2305.9375 ms
[Test 1] 2941.0 KB; 2317.6562 ms
[Test 1] 2956.0 KB; 2329.3750 ms
[Test 1] 2971.0 KB; 2341.0938 ms
[Test 1] 2986.0 KB; 2352.8125 ms
[Test 1] 3001.0 KB; 2364.5312 ms
[Test 1] 3016.0 KB; 2376.2500 ms
[Test 1] 3031.0 KB; 2387.9688 ms
[Test 1] 3046.0 KB; 2399.6875 ms
[Test 1] 3061.0 KB; 2411.4062 ms
[Test 1] 3076.0 KB; 2423.1250 ms
[Test 1] 3091.0 KB; 2434.8438 ms
[Test 1] 3106.0 KB; 2446.5625 ms
[Test 1] 3121.0 KB; 2458.2812 ms
[Test 1] 3136.0 KB; 2470.0000 ms
[Test 1] 3151.0 KB; 2481.7188 ms
[Test 1] 3166.0 KB; 2493.4375 ms
[Test 1] 3181.0 KB; 2505.1562 ms
[Test 1] 3196.0 KB; 2516.8750 ms
[Test 1] 3211.0 KB; 2528.5938 ms
[Test 1] 3226.0 KB; 2540.3125 ms
[Test 1] 3241.0 KB; 2552.0312 ms
[Test 1] 3256.0 KB; 2563.7500 ms
[Test 1] 3271.0 KB; 2575.4688 ms
[Test 1] 3286.0 KB; 2587.1875 ms
[Test 1] 3301.0 KB; 2598.9062 ms
[Test 1] 3316.0 KB; 2610.6250 ms
[Test 1] 3331.0 KB; 2622.3438 ms
[Test 1] 3346.0 KB; 2634.0625 ms
[Test 1] 3361.0 KB; 2645.7812 ms
[Test 1] 3376.0 KB; 2657.5000 ms
[Test 1] 3391.0 KB; 2669.2188 ms
[Test 1] 3406.0 KB; 2680.9375 ms
[Test 1] 3421.0 KB; 2692.6562 ms
[Test 1] 3436.0 KB; 2704.3750 ms
[Test 1] 3451.0 KB; 2716.0938 ms
[Test 1] 3466.0 KB; 2727.8125 ms
[Test 1] 3481.0 KB; 2739.5312 ms
[Test 1] 3496.0 KB; 2751.2500 ms
[Test 1] 3511.0 KB; 2762.9688 ms
[Test 1] 3526.0 KB; 2774.6875 ms
[Test 1] 3541.0 KB; 2786.4062 ms
[Test 1] 3556.0 KB; 2798.1250 ms
[Test 1] 3571.0 KB; 2809.8438 ms
[Test 1] 3586.0 KB; 2821.5625 ms
[Test 1] 3601.0 KB; 2833.2812 ms
[Test 1] 3616.0 KB; 2845.0000 ms
[Test 1] 3631.0 KB; 2856.7188 ms
[Test 1] 3646.0 KB; 2868.4375 ms
[Test 1] 3661.0 KB; 2880.1562 ms
[Test 1] 3676.0 KB; 2891.8750 ms
[Test 1] 3691.0 KB; 2903.5938 ms
[Test 1] 3706.0 KB; 2915.3125 ms
[Test 1] 3721.0 KB; 2927.0312 ms
[Test 1] 3736.0 KB; 2938.7500 ms
[Test 1] 3751.0 KB; 2950.4688 ms
[Test 1] 3766.0 KB; 2962.1875 ms
[Test 1] 3781.0 KB; 2973.9062 ms
[Test 1] 3796.0 KB; 2985.6250 ms
[Test 1] 3811.0 KB; 2997.3438 ms
[Test 1] 3826.0 KB; 3009.0625 ms
[Test 2] 1.0 Mbps; 8020.0000 ms
[Test 2] 2.0 Mbps; 4020.0000 ms
[Test 2] 3.0 Mbps; 2686.6667 ms
[Test 2] 4.0 Mbps; 2020.0000 ms
[Test 2] 5.0 Mbps; 1620.0000 ms
[Test 2] 6.0 Mbps; 1353.3333 ms
[Test 2] 7.0 Mbps; 1162.8571 ms
[Test 2] 8.0 Mbps; 1020.0000 ms
[Test 2] 9.0 Mbps; 908.8889 ms
[Test 2] 10.0 Mbps; 820.0000 ms
[Test 2] 11.0 Mbps; 747.2727 ms
[Test 2] 12.0 Mbps; 686.6667 ms
[Test 2] 13.0 Mbps; 635.3846 ms
[Test 2] 14.0 Mbps; 591.4286 ms
[Test 2] 15.0 Mbps; 553.3333 ms
[Test 2] 16.0 Mbps; 520.0000 ms
[Test 2] 17.0 Mbps; 490.5882 ms
[Test 2] 18.0 Mbps; 464.4444 ms
[Test 2] 19.0 Mbps; 441.0526 ms
[Test 2] 20.0 Mbps; 420.0000 ms
[Test 2] 21.0 Mbps; 400.9524 ms
[Test 2] 22.0 Mbps; 383.6364 ms
[Test 2] 23.0 Mbps; 367.8261 ms
[Test 2] 24.0 Mbps; 353.3333 ms
[Test 2] 25.0 Mbps; 340.0000 ms
[Test 2] 26.0 Mbps; 327.6923 ms
[Test 2] 27.0 Mbps; 316.2963 ms
[Test 2] 28.0 Mbps; 305.7143 ms
[Test 2] 29.0 Mbps; 295.8621 ms
[Test 2] 30.0 Mbps; 286.6667 ms
[Test 2] 31.0 Mbps; 278.0645 ms
[Test 2] 32.0 Mbps; 270.0000 ms
[Test 2] 33.0 Mbps; 262.4242 ms
[Test 2] 34.0 Mbps; 255.2941 ms
[Test 2] 35.0 Mbps; 248.5714 ms
[Test 2] 36.0 Mbps; 242.2222 ms
[Test 2] 37.0 Mbps; 236.2162 ms
[Test 2] 38.0 Mbps; 230.5263 ms
[Test 2] 39.0 Mbps; 225.1282 ms
[Test 2] 40.0 Mbps; 220.0000 ms
[Test 2] 41.0 Mbps; 215.1220 ms
[Test 2] 42.0 Mbps; 210.4762 ms
[Test 2] 43.0 Mbps; 206.0465 ms
[Test 2] 44.0 Mbps; 201.8182 ms
[Test 2] 45.0 Mbps; 197.7778 ms
[Test 2] 46.0 Mbps; 193.9130 ms
[Test 2] 47.0 Mbps; 190.2128 ms
[Test 2] 48.0 Mbps; 186.6667 ms
[Test 2] 49.0 Mbps; 183.2653 ms
[Test 2] 50.0 Mbps; 180.0000 ms
[Test 2] 51.0 Mbps; 176.8627 ms
